PDI,Total Protein,Yield,RNA,Size,Method
1.223524424,85.23096942,3.63E+10,794.1312,193,EE
1.11601796,189.3298634,4.84E+10,155.36,197,EE
1.077696692,104.749512,4.84E+10,156.9136,197,EE
1.110067001,111.2556929,4.82E+10,153.8064,198,EE
1.110067001,163.3051399,4.81E+10,158.4672,199,EE
1.334782997,182.8236825,2.07E+10,880.36,199,EE
1.218979451,182.8236825,2.04E+10,889.1636,199,EE
1.300603754,208.848406,2.09E+10,871.5564,201,EE
1.26729834,195.8360442,2.04E+10,897.9672,197,EE
1.446732403,163.3051399,1.87E+10,612.04,197,EE
1.47567967,150.2927781,1.90E+10,618.1604,198,EE
1.472230723,150.2927781,1.84E+10,605.9196,197,EE
1.442479129,143.7865973,1.84E+10,624.2808,196,EE
1.278506634,137.2804164,2.35E+10,167.32,196,EE
1.224529059,91.73715029,2.32E+10,168.9932,197,EE
1.263189956,117.7618738,2.37E+10,165.6468,198,EE
1.137190424,59.20624593,2.36E+10,170.6664,193,EE
1.206182358,163.3051399,30206121000,318.36,194,EE
1.292398999,91.73715029,30389637000,321.5436,189,EE
1.267752472,130.7742355,30313653000,315.1764,190,EE
1.218839319,111.2556929,30446347000,324.7272,192,EE
1.25129937,202.3422251,3.58E+10,295.8,220,EE
1.360240336,182.8236825,3.58E+10,298.758,205,EE
1.318596864,150.2927781,3.54E+10,292.842,201,EE
1.253901886,124.2680547,3.57E+10,301.716,206,EE
1.4477862,124.2680547,2.58E+09,360.12,128,UC
1.473196229,98.24333116,2.57E+09,363.7212,124,UC
1.441251458,111.2556929,2.54E+09,356.5188,126,UC
1.40095041,72.21860768,2.57E+09,367.3224,123,UC
1.524298737,117.7618738,1.30E+09,652.4,144,UC
1.497982968,85.23096942,1.30E+09,658.924,142,UC
1.521182727,98.24333116,1.29E+09,645.876,140,UC
1.429380694,137.2804164,1.30E+09,665.448,146,UC
1.460043825,52.70006506,1.79E+09,95.36,193,UC
1.360686604,33.18152245,1.79E+09,96.3136,196,UC
1.36969851,59.20624593,1.83E+09,94.4064,197,UC
1.393413227,98.24333116,1.84E+09,97.2672,194,UC
1.294021339,98.24333116,1.04E+09,107.48,190,UC
1.42452981,85.23096942,1.05E+09,108.5548,189,UC
1.333776481,59.20624593,1.04E+09,106.4052,180,UC
1.297653991,78.72478855,1.04E+09,109.6296,186,UC
2.019267151,91.73715029,1.25E+09,411.84,190,UC
1.961262604,85.23096942,1.26E+09,415.9584,188,UC
2.021286515,98.24333116,1.25E+09,407.7216,189,UC
1.936790955,104.749512,1.25E+09,420.0768,188,UC
1.4556724,111.2556929,7.67E+08,105.6,220,UC
1.326834576,39.68770332,7.62E+08,106.656,215,UC
1.368698829,130.7742355,7.68E+08,104.544,230,UC
1.386343162,46.19388419,7.70E+08,107.712,223,UC
1.712521507,130.7742355,1.22E+10,606.84,213,UC
1.67439852,72.21860768,1.23E+10,612.9084,217,UC
1.70589511,72.21860768,1.22E+10,600.7716,217,UC
1.648180751,124.2680547,1.21E+10,618.9768,209,UC
1.450852633,85.23096942,1.28E+09,620.2,209,UC
1.441200267,85.23096942,1.29E+09,626.402,211,UC
1.454697591,98.24333116,1.29E+09,613.998,211,UC
1.46387568,46.19388419,1.28E+09,632.604,213,UC
1.293811043,52.70006506,9.81E+08,591.24,218,UC
1.296485976,46.19388419,9.83E+08,597.1524,217,UC
1.301195557,33.18152245,9.78E+08,585.3276,218,UC
1.270645277,117.7618738,9.87E+08,603.0648,219,UC
1.337607165,104.749512,1.75E+09,102.48,225,UC
1.439797832,46.19388419,1.75E+09,103.5048,230,UC
1.444200539,143.7865973,1.76E+09,101.4552,221,UC
1.461006705,98.24333116,1.74E+09,104.5296,224,UC
1.37051358,150.2927781,3.03E+09,511.24,150,UC
1.297171425,91.73715029,3.05E+09,516.3524,156,UC
1.282101781,91.73715029,3.05E+09,506.1276,163,UC
1.31002615,98.24333116,2.98E+09,521.4648,158,UC
